titre,publications,somme_partages,moyenne_partages,somme_reactions,moyenne_reactions,somme_commentaires,somme_likes_commentaires,somme_commentaires_commentaires,moyenne_commentaires,engagement_total,engagement_moyen,annee
L'Hebdo du St-Maurice,597,8130,13.62,13021,21.81,2874,600,1476,8.29,26101,43.72,2015
L'Hebdo du St-Maurice,590,2870,4.86,6249,10.59,1784,19,1192,5.08,12114,20.53,2014
L'Hebdo du St-Maurice,596,2541,4.26,2941,4.93,781,0,419,2.01,6682,11.21,2013
L'Hebdo Journal,740,16724,22.60,16593,22.42,4622,1639,2073,11.26,41651,56.29,2017
L'Hebdo Journal,564,6290,11.15,7742,13.73,1432,456,943,5.02,16863,29.90,2016
L'Hebdo Journal,592,3276,5.53,4571,7.72,507,96,202,1.36,8652,14.61,2015
L'Hebdo Journal,588,1783,3.03,1850,3.15,788,21,104,1.55,4546,7.73,2014
L'Hebdo Journal,597,509,0.85,718,1.20,235,7,50,0.49,1519,2.54,2013
La Frontière / Le Citoyen,731,15265,20.88,24852,34.00,5102,2790,4667,17.18,52676,72.06,2017
La Frontière / Le Citoyen,595,10515,17.67,18935,31.82,2639,1152,2439,10.47,35680,59.97,2016
La Frontière / Le Citoyen,591,7951,13.45,10975,18.57,1837,706,2442,8.43,23911,40.46,2015
La Frontière / Le Citoyen,591,6422,10.87,8747,14.80,2102,254,1884,7.17,19409,32.84,2014
La Frontière / Le Citoyen,596,2495,4.19,5806,9.74,1692,129,1309,5.25,11431,19.18,2013
La Presse,598,76887,128.57,186966,312.65,28399,27211,61029,195.05,380492,636.27,2017
La Presse,594,182749,307.66,286626,482.54,30479,20475,64298,194.03,584627,984.22,2016
La Presse,598,138168,231.05,109172,182.56,17917,9411,30793,97.19,305461,510.80,2015
La Presse,598,68506,114.56,72291,120.89,11340,4231,24317,66.70,180685,302.15,2014
La Presse,596,3803,6.38,7814,13.11,2806,0,4809,12.78,19232,32.27,2013
La Terre de chez nous,730,11981,16.41,25759,35.29,4660,1830,3098,13.13,47328,64.83,2017
La Terre de chez nous,591,11725,19.84,13963,23.63,1705,865,1348,6.63,29606,50.09,2016
La Terre de chez nous,576,9031,15.68,10893,18.91,1254,236,968,4.27,22382,38.86,2015
La Terre de chez nous,564,3522,6.24,4814,8.54,679,22,570,2.25,9607,17.03,2014
La Terre de chez nous,416,1542,3.71,1890,4.54,543,0,330,2.10,4305,10.35,2013
La Tribune,596,12610,21.16,14838,24.90,3536,754,3544,13.14,35282,59.20,2017
La Tribune,596,6616,11.10,11700,19.63,2456,635,1949,8.46,23356,39.19,2016
La Tribune,598,3684,6.16,4839,8.09,821,193,502,2.54,10039,16.79,2015
La Tribune,598,1288,2.15,1911,3.20,326,38,225,0.98,3788,6.33,2014
La Tribune,586,671,1.15,1572,2.68,246,0,100,0.59,2589,4.42,2013
La Voix de l'Est,596,7586,12.73,8044,13.50,1586,436,1058,5.17,18710,31.39,2017
La Voix de l'Est,592,5153,8.70,3976,6.72,611,193,322,1.90,10255,17.32,2016
La Voix de l'Est,596,2006,3.37,2545,4.27,616,80,508,2.02,5755,9.66,2015
La Voix de l'Est,598,1680,2.81,1750,2.93,404,4,229,1.07,4067,6.80,2014
La Voix de l'Est,599,807,1.35,764,1.28,267,0,114,0.64,1952,3.26,2013
Le 15-18,695,25000,35.97,25200,36.26,4679,1776,4685,16.03,61340,88.26,2017
Le 15-18,584,22897,39.21,20784,35.59,3181,837,2915,11.87,50614,86.67,2016
Le 15-18,597,39751,66.58,32451,54.36,3715,552,3047,12.25,79516,133.19,2015
Le 15-18,595,1874,3.15,1632,2.74,917,221,499,2.75,5143,8.64,2014
Le 15-18,263,123,0.47,334,1.27,201,34,49,1.08,741,2.82,2013
Le Courrier du Haut-Richelieu,524,20085,38.33,12323,23.52,5947,706,902,14.42,39963,76.27,2017
Le Courrier du Haut-Richelieu,563,32919,58.47,20946,37.20,9012,386,1363,19.11,64626,114.79,2016
Le Courrier du Haut-Richelieu,46,7100,154.35,4607,100.15,2033,26,97,46.87,13863,301.37,2015
Le Courrier du Haut-Richelieu,33,642,19.45,721,21.85,240,0,15,7.73,1618,49.03,2014
Le Devoir,591,35536,60.13,111991,189.49,23708,13576,34774,121.93,219585,371.55,2017
Le Devoir,595,29799,50.08,83788,140.82,13793,8542,28192,84.92,164114,275.82,2016
Le Devoir,595,58360,98.08,131745,221.42,8978,6291,19481,58.40,224855,377.91,2015
Le Devoir,599,115035,192.05,159872,266.90,23828,11335,55400,151.19,365470,610.13,2014
Le Devoir,597,32245,54.01,42196,70.68,7292,2488,12498,37.32,96719,162.01,2013
Le Droit,717,40687,56.75,27825,38.81,4054,1557,5842,15.97,79965,111.53,2017
Le Droit,594,4101,6.90,5597,9.42,1467,380,850,4.54,12395,20.87,2016
Le Droit,403,2593,6.43,2413,5.99,555,132,356,2.59,6049,15.01,2015
Le Droit,555,1262,2.27,1952,3.52,278,35,126,0.79,3653,6.58,2014
Le Droit,592,1589,2.68,1820,3.07,305,25,114,0.75,3853,6.51,2013
Le Journal de Montréal,591,70650,119.54,145258,245.78,33752,18875,28364,137.04,296899,502.37,2017
Le Journal de Montréal,596,21152,35.49,59547,99.91,12075,6582,14913,56.33,114269,191.73,2016
Le Journal de Montréal,596,33543,56.28,84493,141.77,17436,10111,26491,90.67,172074,288.71,2015
Le Journal de Montréal,591,31783,53.78,59096,99.99,9576,786,14598,42.23,115839,196.01,2014
Le Journal de Montréal,597,11686,19.57,19115,32.02,6272,8,7877,23.71,44958,75.31,2013
Le Journal de Québec,595,26129,43.91,54893,92.26,16043,8015,20200,74.38,125280,210.55,2017
Le Journal de Québec,599,15431,25.76,33148,55.34,7408,3935,9796,35.29,69718,116.39,2016
Le Journal de Québec,599,20692,34.54,30455,50.84,6248,3328,10201,33.02,70924,118.40,2015
Le Journal de Québec,591,7935,13.43,21309,36.06,4821,1356,6937,22.19,42358,71.67,2014
Le Journal de Québec,597,4656,7.80,10447,17.50,2145,3,2238,7.35,19489,32.64,2013
Le Journal Saint-François,741,21278,28.72,21542,29.07,6021,2667,4534,17.84,56042,75.63,2017
Le Journal Saint-François,593,11659,19.66,13159,22.19,2834,901,1653,9.09,30206,50.94,2016
Le Journal Saint-François,587,5938,10.12,4669,7.95,962,401,763,3.62,12733,21.69,2015
Le Journal Saint-François,558,641,1.15,696,1.25,80,1,27,0.19,1445,2.59,2014
Le Journal Saint-François,557,455,0.82,279,0.50,85,1,12,0.18,832,1.49,2013
Le Nord-Côtier,731,28961,39.62,30075,41.14,9421,1044,4025,19.82,73526,100.58,2017
Le Nord-Côtier,592,37882,63.99,39403,66.56,10632,537,1574,21.53,90028,152.07,2016
Le Nord-Côtier,576,15172,26.34,37179,64.55,5874,442,2388,15.11,61055,106.00,2015
Le Nord-Côtier,583,7957,13.65,19380,33.24,3143,12,1765,8.44,32257,55.33,2014
Le Nord-Côtier,588,4339,7.38,3694,6.28,963,0,276,2.11,9272,15.77,2013
Le Nouvelliste,738,17229,23.35,25999,35.23,5239,2376,5580,17.88,56423,76.45,2017
Le Nouvelliste,600,7256,12.09,8999,15.00,1287,324,821,4.05,18687,31.15,2016
Le Nouvelliste,599,4268,7.13,4303,7.18,875,144,498,2.53,10088,16.84,2015
Le Nouvelliste,599,2610,4.36,2853,4.76,920,21,718,2.77,7122,11.89,2014
Le Nouvelliste,599,2410,4.02,3594,6.00,1148,0,453,2.67,7605,12.70,2013
Le Quotidien,641,8566,13.36,13525,21.10,3486,1348,3151,12.46,30076,46.92,2017
Le Quotidien,598,6592,11.02,5408,9.04,1052,295,780,3.56,14127,23.62,2016
Le Quotidien,598,2385,3.99,3012,5.04,595,116,368,1.80,6476,10.83,2015
Le Quotidien,598,2176,3.64,2273,3.80,404,7,198,1.02,5058,8.46,2014
Le Quotidien,599,837,1.40,733,1.22,134,0,37,0.29,1741,2.91,2013
Le Reflet du Lac,709,18788,26.50,32114,45.29,8762,4510,8166,30.24,72340,102.03,2017
Le Reflet du Lac,593,15731,26.53,23047,38.87,5000,1324,3684,16.88,48786,82.27,2016
Le Reflet du Lac,570,12598,22.10,18776,32.94,10311,625,2369,23.34,44679,78.38,2015
Le Reflet du Lac,561,5494,9.79,10424,18.58,2528,1,1230,6.70,19677,35.07,2014
Le Reflet du Lac,590,5758,9.76,11848,20.08,2209,1,700,4.93,20516,34.77,2013
Le sac de chips,683,35739,52.33,41097,60.17,25529,7576,8472,60.87,118413,173.37,2017
Le sac de chips,592,20606,34.81,26802,45.27,19579,1508,6249,46.18,74744,126.26,2016
Le sac de chips,597,66983,112.20,5392,9.03,1291,407,618,3.88,74691,125.11,2015
Le sac de chips,598,25519,42.67,3876,6.48,1296,124,572,3.33,31387,52.49,2014
Le sac de chips,28,14,0.50,7,0.25,2,0,1,0.11,24,0.86,2013
"Le Soleil, le quotidien de Québec",589,53376,90.62,63248,107.38,8800,4515,8905,37.72,138844,235.73,2017
"Le Soleil, le quotidien de Québec",597,64287,107.68,62677,104.99,5058,1372,3909,17.32,137303,229.99,2016
"Le Soleil, le quotidien de Québec",597,48605,81.42,43161,72.30,2909,937,2429,10.51,98041,164.22,2015
"Le Soleil, le quotidien de Québec",598,9465,15.83,12566,21.01,886,9,500,2.33,23426,39.17,2014
"Le Soleil, le quotidien de Québec",588,9375,15.94,8710,14.81,607,0,321,1.58,19013,32.34,2013
Les 2 Rives,742,16145,21.76,22979,30.97,6037,2270,3772,16.28,51203,69.01,2017
Les 2 Rives,581,9819,16.90,10772,18.54,2934,768,1856,9.57,26149,45.01,2016
Les 2 Rives,572,5423,9.48,8729,15.26,2334,485,1513,7.57,18484,32.31,2015
Les 2 Rives,576,3962,6.88,4370,7.59,1233,15,554,3.13,10134,17.59,2014
Les 2 Rives,590,1956,3.32,1497,2.54,501,0,294,1.35,4248,7.20,2013
Les Affaires,710,16769,23.62,37067,52.21,8013,5150,7355,28.90,74354,104.72,2017
Les Affaires,597,38224,64.03,43964,73.64,6212,2948,5619,24.76,96967,162.42,2016
Les Affaires,596,15519,26.04,20467,34.34,2728,1100,2135,10.01,41949,70.38,2015
Les Affaires,597,3722,6.23,3615,6.06,436,11,189,1.07,7973,13.36,2014
Les Affaires,598,1222,2.04,1384,2.31,144,0,38,0.30,2788,4.66,2013
Magazine Échos Vedettes,704,3215,4.57,56456,80.19,12517,352,1330,20.17,73870,104.93,2017
Magazine Échos Vedettes,586,3540,6.04,38781,66.18,11078,183,1095,21.09,54677,93.31,2016
Magazine Échos Vedettes,468,891,1.90,12971,27.72,3661,117,821,9.83,18461,39.45,2015
Magazine Échos Vedettes,217,381,1.76,3862,17.80,2458,139,1017,16.65,7857,36.21,2014
Magazine Échos Vedettes,406,1260,3.10,13753,33.87,4761,163,2645,18.64,22582,55.62,2013
Mario Dumont LCN,312,9207,29.51,24219,77.63,19622,11344,25521,181.05,89913,288.18,2017
Mario Dumont LCN,204,2946,14.44,12604,61.78,14043,7611,23080,219.28,60284,295.51,2016
Mario Dumont LCN,219,4485,20.48,11154,50.93,16370,9262,26408,237.63,67679,309.04,2015
Mario Dumont LCN,149,1043,7.00,4389,29.46,9089,3610,13029,172.67,31160,209.13,2014
Mario Dumont LCN,186,686,3.69,2660,14.30,7530,1407,15086,129.16,27369,147.15,2013
Maurais Live - Radio X,716,14433,20.16,65962,92.13,21795,7131,17207,64.43,126528,176.72,2017
Maurais Live - Radio X,597,5742,9.62,37295,62.47,10360,2559,8638,36.11,64594,108.20,2016
Maurais Live - Radio X,576,4879,8.47,22462,39.00,11790,3084,14332,50.70,56547,98.17,2015
Maurais Live - Radio X,589,2176,3.69,17560,29.81,12291,311,14112,45.35,46450,78.86,2014
Maurais Live - Radio X,575,2024,3.52,15631,27.18,10830,0,9415,35.21,37900,65.91,2013
MétéoMédia,639,157228,246.05,185427,290.18,35070,10473,18278,99.88,406476,636.11,2017
MétéoMédia,588,139569,237.36,118034,200.74,16203,5720,9605,53.62,289131,491.72,2016
MétéoMédia,595,23153,38.91,54108,90.94,5577,1010,3601,17.12,87449,146.97,2015
MétéoMédia,583,147098,252.31,197226,338.30,34784,4803,31137,121.31,415048,711.92,2014
MétéoMédia,587,108906,185.53,134613,229.32,42739,2909,24831,120.07,313998,534.92,2013
Montreal Gazette,595,39100,65.71,49860,83.80,7683,3230,7414,30.80,107287,180.31,2017
Montreal Gazette,599,79514,132.74,85040,141.97,14660,3432,19100,62.09,201746,336.80,2016
Montreal Gazette,598,23524,39.34,32922,55.05,3979,2266,6799,21.81,69490,116.20,2015
Montreal Gazette,599,19388,32.37,45391,75.78,6024,1630,9677,28.93,82110,137.08,2014
Montreal Gazette,597,6750,11.31,14501,24.29,2797,472,2614,9.85,27134,45.45,2013
Naître et grandir,704,84684,120.29,117226,166.51,15364,5561,8368,41.61,231203,328.41,2017
Naître et grandir,573,80542,140.56,101882,177.80,9756,4051,8530,38.98,204761,357.35,2016
Naître et grandir,585,159288,272.29,201784,344.93,11218,4692,13555,50.37,390537,667.58,2015
Naître et grandir,584,149609,256.18,206965,354.39,12060,2450,16972,53.91,388056,664.48,2014
Naître et grandir,575,40397,70.26,66259,115.23,7577,835,10313,32.57,125381,218.05,2013
Protégez-Vous,544,53672,98.66,38308,70.42,7961,3767,5720,32.07,109428,201.15,2017
Protégez-Vous,466,53658,115.15,38701,83.05,5859,3000,4434,28.53,105652,226.72,2016
Protégez-Vous,413,81747,197.93,59959,145.18,7208,3702,8783,47.68,161399,390.80,2015
Protégez-Vous,380,65719,172.94,49346,129.86,5749,1371,6334,35.41,128519,338.21,2014
Protégez-Vous,307,16176,52.69,11252,36.65,2801,277,1690,15.53,32196,104.87,2013
Rad,95,17750,186.84,19260,202.74,1966,1370,2314,59.47,42660,449.05,2017
"Radio X - CHOI 98,1",606,37652,62.13,31369,51.76,22543,6405,8416,61.66,106385,175.55,2017
"Radio X - CHOI 98,1",578,12211,21.13,25606,44.30,10842,2501,6061,33.57,57221,99.00,2016
"Radio X - CHOI 98,1",579,31675,54.71,37711,65.13,28571,2754,7152,66.45,107863,186.29,2015
"Radio X - CHOI 98,1",552,32260,58.44,44114,79.92,19093,2027,10364,57.04,107858,195.39,2014
"Radio X - CHOI 98,1",572,14437,25.24,14629,25.58,6028,345,4386,18.81,39825,69.62,2013
Radio-Canada Information,598,229721,384.15,286324,478.80,43067,31204,65918,234.43,656234,1097.38,2017
Radio-Canada Information,595,371366,624.14,324861,545.98,44190,20255,58458,206.56,819130,1376.69,2016
Radio-Canada Information,594,359370,605.00,349888,589.04,37882,22609,76724,231.00,846473,1425.04,2015
Radio-Canada Information,593,211665,356.94,173065,291.85,36823,18072,83426,233.26,523051,882.04,2014
Radio-Canada Information,600,91402,152.34,47608,79.35,17012,4645,26391,80.08,187058,311.76,2013
Radio-Canada Science,729,54835,75.22,35825,49.14,6929,1576,4047,17.22,103212,141.58,2017
Radio-Canada Science,240,11426,47.61,2007,8.36,454,66,306,3.44,14259,59.41,2016
Radio-Canada Sports,605,23333,38.57,65904,108.93,9342,2483,5348,28.39,106410,175.88,2017
Radio-Canada Sports,338,9867,29.19,17829,52.75,2382,451,1266,12.13,31795,94.07,2016
Radio-Canada Sports,599,12211,20.39,12965,21.64,1433,300,726,4.11,27635,46.14,2015
Radio-Canada Sports,594,6116,10.30,11102,18.69,1346,1,487,3.09,19052,32.07,2014
Radio-Canada Sports,594,838,1.41,1903,3.20,187,1,18,0.35,2947,4.96,2013
RDI Économie,694,119412,172.06,77131,111.14,16821,9425,16612,61.76,239401,344.96,2017
RDI Économie,597,54287,90.93,38207,64.00,8298,5568,8769,37.91,115129,192.85,2016
RDI Économie,600,39713,66.19,23472,39.12,7455,4390,9459,35.51,84489,140.82,2015
RDI Économie,351,14548,41.45,8249,23.50,4094,1443,4387,28.27,32721,93.22,2014
RDS,593,23590,39.78,109992,185.48,38405,19968,29342,147.92,221297,373.18,2017
RDS,591,30940,52.35,160652,271.83,31417,11692,22509,111.03,257210,435.21,2016
RDS,599,41401,69.12,293384,489.79,25687,17378,36381,132.63,414231,691.54,2015
RDS,595,65233,109.64,539975,907.52,36568,9831,55228,170.80,706835,1187.96,2014
RDS,591,19507,33.01,217795,368.52,30623,4495,31413,112.57,303833,514.10,2013
Salut Bonjour,651,47873,73.54,157963,242.65,29962,6059,10990,72.21,252847,388.40,2017
Salut Bonjour,565,33329,58.99,282940,500.78,47515,6457,20028,130.97,390269,690.74,2016
Salut Bonjour,563,70916,125.96,200373,355.90,33820,6750,27718,121.29,339577,603.16,2015
Salut Bonjour,539,19573,36.31,133813,248.26,27474,3448,23563,101.09,207871,385.66,2014
Salut Bonjour,574,138710,241.66,237983,414.60,50322,2327,25143,135.53,454485,791.79,2013
Sympatico,689,9350,13.57,13152,19.09,2835,1066,1935,8.47,28338,41.13,2017
Sympatico,513,4413,8.60,8334,16.25,1724,329,694,5.35,15494,30.20,2016
Sympatico,588,7816,13.29,9147,15.56,3266,162,580,6.82,20971,35.66,2015
Sympatico,596,5989,10.05,9839,16.51,4590,114,994,9.56,21526,36.12,2014
Sympatico,591,2452,4.15,6350,10.74,1601,0,464,3.49,10867,18.39,2013
TABLOÏD,22,1234,56.09,1280,58.18,242,129,119,22.27,3004,136.55,2017
Télé-Québec,677,52161,77.05,73693,108.85,9375,3349,6285,28.08,144863,213.98,2017
Télé-Québec,582,43681,75.05,55490,95.34,7110,3028,6256,28.17,115565,198.57,2016
Télé-Québec,563,52862,93.89,61295,108.87,8938,3091,5681,31.46,131867,234.22,2015
Télé-Québec,550,11179,20.33,22096,40.17,2408,467,1213,7.43,37363,67.93,2014
Télé-Québec,569,3097,5.44,7458,13.11,1322,146,619,3.67,12642,22.22,2013
TVA Est-du-Québec,732,10337,14.12,9953,13.60,2003,648,1006,5.00,23947,32.71,2017
TVA Est-du-Québec,598,23053,38.55,14980,25.05,2600,1234,2645,10.83,44512,74.43,2016
TVA Est-du-Québec,593,17226,29.05,7866,13.26,1447,454,1426,5.61,28419,47.92,2015
TVA Est-du-Québec,590,6589,11.17,3302,5.60,708,82,760,2.63,11441,19.39,2014
TVA Est-du-Québec,590,5601,9.49,2272,3.85,673,48,265,1.67,8859,15.02,2013
TVA Gatineau-Ottawa,689,31013,45.01,35571,51.63,18322,9387,16632,64.36,110925,160.99,2017
TVA Gatineau-Ottawa,595,24568,41.29,28323,47.60,14114,8217,14749,62.32,89971,151.21,2016
TVA Gatineau-Ottawa,597,18152,30.41,29096,48.74,14175,6695,16324,62.30,84442,141.44,2015
TVA Gatineau-Ottawa,592,8613,14.55,15694,26.51,7797,167,12162,34.00,44433,75.06,2014
TVA Gatineau-Ottawa,594,25748,43.35,13407,22.57,6938,5,4252,18.85,50350,84.76,2013
TVA Nouvelles,587,261987,446.32,553940,943.68,165273,72994,194130,736.62,1248324,2126.62,2017
TVA Nouvelles,598,174498,291.80,345919,578.46,67951,39067,129794,396.01,757229,1266.27,2016
TVA Nouvelles,582,208642,358.49,539696,927.31,98492,69313,313979,827.81,1230122,2113.61,2015
TVA Nouvelles,585,261451,446.92,606411,1036.60,114241,54537,300915,802.89,1337555,2286.42,2014
TVA Nouvelles,594,117343,197.55,171486,288.70,69401,0,121818,321.92,480048,808.16,2013
TVA Nouvelles Abitibi-Témiscamingue,716,13052,18.23,12493,17.45,6990,3196,5790,22.31,41521,57.99,2017
TVA Nouvelles Abitibi-Témiscamingue,597,6855,11.48,5383,9.02,2355,1125,2783,10.49,18501,30.99,2016
TVA Nouvelles Abitibi-Témiscamingue,597,7304,12.23,6463,10.83,1840,610,1758,7.05,17975,30.11,2015
TVA Nouvelles Abitibi-Témiscamingue,596,5872,9.85,5436,9.12,1185,200,1063,4.11,13756,23.08,2014
TVA Nouvelles Abitibi-Témiscamingue,594,8563,14.42,5159,8.69,1787,66,1888,6.30,17463,29.40,2013
TVA Québec,671,11948,17.81,19126,28.50,5528,2127,4174,17.63,42903,63.94,2017
TVA Québec,560,6380,11.39,14613,26.09,13450,1109,2121,29.79,37673,67.27,2016
TVA Québec,573,1660,2.90,4207,7.34,2701,409,1631,8.27,10608,18.51,2015
TVA Québec,571,603,1.06,3676,6.44,5492,406,2753,15.15,12930,22.64,2014
TVA Québec,578,1671,2.89,6993,12.10,4854,203,3308,14.47,17029,29.46,2013
TVA Saguenay-Lac-St-Jean,727,33911,46.65,33649,46.28,11536,5624,9390,36.52,94110,129.45,2017
TVA Saguenay-Lac-St-Jean,340,6640,19.53,7071,20.80,1955,825,1715,13.22,18206,53.55,2016
TVA Saguenay-Lac-St-Jean,540,12570,23.28,4533,8.39,1874,534,1906,7.99,21417,39.66,2015
TVA Saguenay-Lac-St-Jean,587,3908,6.66,2521,4.29,911,7,694,2.75,8041,13.70,2014
TVA Saguenay-Lac-St-Jean,590,5777,9.79,3944,6.68,1114,0,627,2.95,11462,19.43,2013
TVA Sherbrooke,689,24307,35.28,21775,31.60,4876,2586,3783,16.32,57327,83.20,2017
TVA Sherbrooke,588,66875,113.73,55557,94.48,10770,6258,25746,72.74,165206,280.96,2016
TVA Sherbrooke,585,21974,37.56,22360,38.22,3895,1611,4985,17.93,54825,93.72,2015
TVA Sherbrooke,572,25489,44.56,15745,27.53,8361,458,3559,21.64,53612,93.73,2014
TVA Sherbrooke,592,19668,33.22,15243,25.75,2970,227,3548,11.39,41656,70.36,2013
TVA Sports,595,45910,77.16,231119,388.44,39374,25364,38140,172.90,379907,638.50,2017
TVA Sports,598,24933,41.69,161642,270.30,18929,14052,26729,99.85,246285,411.85,2016
TVA Sports,594,39694,66.82,240715,405.24,21911,17714,45354,143.06,365388,615.13,2015
TVA Sports,599,26262,43.84,251498,419.86,21947,8607,35968,111.06,344282,574.76,2014
TVA Sports,598,3332,5.57,28044,46.90,11296,2290,10594,40.43,55556,92.90,2013
TVA Trois-Rivières,588,25411,43.22,28832,49.03,6949,4978,8377,34.53,74547,126.78,2017
TVA Trois-Rivières,599,61180,102.14,32518,54.29,8563,5203,12358,43.61,119822,200.04,2016
TVA Trois-Rivières,599,42664,71.23,27990,46.73,7279,5146,11220,39.47,94299,157.43,2015
TVA Trois-Rivières,600,51540,85.90,27572,45.95,5944,2072,8210,27.04,95338,158.90,2014
TVA Trois-Rivières,600,25135,41.89,13841,23.07,5567,587,7466,22.70,52596,87.66,2013
URBANIA,699,42381,60.63,112266,160.61,31724,13312,17462,89.41,217145,310.65,2017
URBANIA,592,69365,117.17,96388,162.82,25267,13565,19467,98.48,224052,378.47,2016
URBANIA,584,10182,17.43,29742,50.93,4687,1447,3161,15.92,49219,84.28,2015
URBANIA,582,10489,18.02,29368,50.46,6883,586,3243,18.41,50569,86.89,2014
URBANIA,581,5224,8.99,12637,21.75,2504,131,1528,7.17,22024,37.91,2013
VICE Québec,702,73358,104.50,113181,161.23,30680,21465,20860,104.00,259544,369.72,2017
VICE Québec,592,12241,20.68,23877,40.33,3559,2516,6770,21.70,48963,82.71,2016
www.lanouvelle.net,606,10600,17.49,14190,23.42,3551,1165,2187,11.39,31693,52.30,2017
www.lanouvelle.net,581,16830,28.97,15094,25.98,2862,1124,2606,11.35,38516,66.29,2016
www.lanouvelle.net,583,6102,10.47,4329,7.43,2236,268,1534,6.93,14469,24.82,2015
www.lanouvelle.net,588,1287,2.19,1740,2.96,455,9,389,1.45,3880,6.60,2014
www.lanouvelle.net,597,912,1.53,1038,1.74,162,0,60,0.37,2172,3.64,2013
